Date,Energy_Consumption_kWh,Household_Size,Avg_Temperature_C,Has_AC,Peak_Hours_Usage_kWh
2025-04-01,8.4,4,17.8,0,3.2
2025-04-02,7.9,4,17.3,0,2.8
2025-04-03,9.2,4,18.6,0,3.0
2025-04-04,7.9,4,18.2,0,2.7
2025-04-05,9.6,4,11.9,0,3.2
2025-04-06,7.5,4,18.3,0,2.8
2025-04-07,9.1,4,15.1,0,3.2
2025-04-01,11.9,5,18.0,0,4.2
2025-04-02,12.4,5,12.7,0,4.9
2025-04-03,12.1,5,19.7,0,4.5
2025-04-04,11.1,5,18.4,0,4.1
2025-04-05,13.9,5,19.6,0,5.1
2025-04-06,14.7,5,18.5,0,4.8
2025-04-07,11.3,5,20.9,0,3.9
2025-04-01,7.6,3,18.2,0,2.7
2025-04-02,7.6,3,12.5,0,2.5
2025-04-03,7.2,3,14.0,0,2.2
2025-04-04,8.0,3,18.9,0,3.1
2025-04-05,7.7,3,16.2,0,2.9
2025-04-06,6.4,3,18.3,0,2.4
2025-04-07,9.1,3,19.7,0,3.0
2025-04-01,18.8,5,16.8,1,7.8
2025-04-02,18.8,5,16.2,1,9.2
2025-04-03,20.0,5,20.2,1,8.7
2025-04-04,16.1,5,16.4,1,7.4
2025-04-05,17.4,5,14.0,1,7.2
2025-04-06,17.7,5,17.0,1,8.1
2025-04-07,17.0,5,18.0,1,8.2
2025-04-01,12.0,5,14.7,0,3.8
2025-04-02,14.1,5,17.8,0,4.3
2025-04-03,12.3,5,20.8,0,4.6
2025-04-04,12.4,5,20.4,0,3.9
2025-04-05,13.4,5,19.7,0,4.7
2025-04-06,15.3,5,19.1,0,5.1
2025-04-07,13.2,5,13.5,0,4.5
2025-04-01,4.4,2,15.9,0,1.5
2025-04-02,6.5,2,16.6,0,2.5
2025-04-03,3.1,2,16.8,0,1.0
2025-04-04,3.5,2,18.3,0,1.3
2025-04-05,2.8,2,17.2,0,1.1
2025-04-06,5.2,2,16.4,0,2.1
2025-04-07,8.5,2,15.9,0,2.9
2025-04-01,7.7,3,15.4,0,3.0
2025-04-02,8.2,3,14.6,0,2.9
2025-04-03,9.4,3,21.1,0,3.4
2025-04-04,5.7,3,18.5,0,1.7
2025-04-05,10.7,3,20.1,0,3.9
2025-04-06,8.5,3,18.5,0,2.6
2025-04-07,7.4,3,20.9,0,2.5
2025-04-01,10.6,3,21.5,1,5.2
2025-04-02,12.2,3,15.9,1,5.3
2025-04-03,10.5,3,15.2,1,4.4
2025-04-04,12.8,3,18.1,1,6.0
2025-04-05,10.6,3,18.6,1,5.2
2025-04-06,11.5,3,19.7,1,5.6
2025-04-07,12.8,3,19.8,1,5.3
2025-04-01,7.3,3,16.9,0,2.2
2025-04-02,8.3,3,13.9,0,2.9
2025-04-03,7.6,3,17.6,0,2.3
2025-04-04,9.5,3,20.4,0,3.1
2025-04-05,7.8,3,16.8,0,2.7
2025-04-06,8.2,3,15.9,0,2.7
2025-04-07,6.6,3,18.7,0,2.0
2025-04-01,13.5,5,14.8,0,4.5
2025-04-02,11.7,5,23.6,0,4.3
2025-04-03,13.6,5,12.5,0,5.3
2025-04-04,11.3,5,17.3,0,4.2
2025-04-05,12.0,5,17.9,0,4.6
2025-04-06,10.9,5,16.2,0,3.5
2025-04-07,13.0,5,17.8,0,4.3
2025-04-01,10.3,4,17.8,0,3.4
2025-04-02,9.3,4,14.4,0,3.7
2025-04-03,10.1,4,19.9,0,3.4
2025-04-04,9.1,4,20.6,0,3.4
2025-04-05,10.9,4,16.8,0,3.8
2025-04-06,10.7,4,18.4,0,3.6
2025-04-07,10.9,4,15.9,0,3.6
2025-04-01,9.9,3,10.0,1,4.5
2025-04-02,11.3,3,12.5,1,4.7
2025-04-03,12.8,3,16.2,1,5.8
2025-04-04,11.7,3,19.3,1,5.5
2025-04-05,11.4,3,17.5,1,5.7
2025-04-06,13.8,3,12.8,1,6.0
2025-04-07,11.5,3,14.5,1,4.7
2025-04-01,18.8,6,20.2,1,8.1
2025-04-02,20.0,6,15.2,1,8.5
2025-04-03,20.0,6,17.7,1,9.5
2025-04-04,19.5,6,16.2,1,7.8
2025-04-05,20.0,6,18.6,1,8.1
2025-04-06,20.0,6,18.6,1,8.8
2025-04-07,20.0,6,12.1,1,9.2
2025-04-01,19.8,5,16.3,1,8.9
2025-04-02,20.0,5,16.4,1,8.0
2025-04-03,18.2,5,18.4,1,8.2
2025-04-04,18.0,5,19.1,1,9.0
2025-04-05,20.0,5,22.7,1,9.1
2025-04-06,20.0,5,15.9,1,9.3
2025-04-07,17.0,5,16.6,1,8.2
2025-04-01,8.9,2,17.7,1,3.6
2025-04-02,8.2,2,18.0,1,3.6
2025-04-03,9.9,2,14.0,1,4.4
2025-04-04,6.4,2,15.4,1,2.7
2025-04-05,7.4,2,17.2,1,3.4
2025-04-06,7.3,2,15.3,1,3.3
2025-04-07,7.0,2,16.1,1,3.0
2025-04-01,11.6,4,18.2,1,5.4
2025-04-02,15.3,4,15.4,1,6.6
2025-04-03,11.9,4,15.0,1,5.9
2025-04-04,16.6,4,15.5,1,7.3
2025-04-05,13.5,4,10.9,1,6.5
2025-04-06,13.5,4,12.9,1,6.5
2025-04-07,16.0,4,16.9,1,7.5
2025-04-01,20.0,6,17.6,1,8.1
2025-04-02,20.0,6,17.7,1,8.6
2025-04-03,20.0,6,18.7,1,8.3
2025-04-04,20.0,6,17.8,1,8.2
2025-04-05,20.0,6,20.4,1,9.0
2025-04-06,20.0,6,17.6,1,10.0
2025-04-07,20.0,6,14.9,1,8.9
2025-04-01,13.2,6,18.4,0,4.9
2025-04-02,14.9,6,15.2,0,5.2
2025-04-03,14.2,6,18.1,0,5.4
2025-04-04,16.8,6,23.7,0,6.6
2025-04-05,15.5,6,15.0,0,5.3
2025-04-06,16.5,6,20.8,0,6.4
2025-04-07,16.4,6,18.5,0,6.1
2025-04-01,7.4,2,13.8,1,3.6
2025-04-02,7.7,2,22.1,1,3.6
2025-04-03,5.8,2,14.7,1,2.5
2025-04-04,9.7,2,18.5,1,4.1
2025-04-05,9.9,2,16.1,1,4.7
2025-04-06,7.8,2,17.7,1,3.5
2025-04-07,7.1,2,18.4,1,3.2
2025-04-01,9.4,4,18.0,0,3.1
2025-04-02,9.8,4,13.0,0,3.6
2025-04-03,11.1,4,20.2,0,3.6
2025-04-04,10.0,4,15.3,0,3.7
2025-04-05,11.0,4,18.9,0,3.7
2025-04-06,11.1,4,17.7,0,4.0
2025-04-07,12.9,4,19.3,0,5.0
2025-04-01,18.7,5,19.5,1,8.6
2025-04-02,20.0,5,20.4,1,10.0
2025-04-03,16.8,5,17.2,1,7.1
2025-04-04,19.3,5,20.4,1,9.6
2025-04-05,18.4,5,21.1,1,9.0
2025-04-06,18.7,5,14.7,1,8.6
2025-04-07,18.9,5,19.6,1,7.9
2025-04-01,3.4,1,16.8,1,1.5
2025-04-02,7.1,1,21.8,1,3.0
2025-04-03,0.5,1,14.5,1,0.2
2025-04-04,5.8,1,14.7,1,2.6
2025-04-05,2.5,1,14.5,1,1.1
2025-04-06,5.8,1,20.3,1,2.8
2025-04-07,3.7,1,20.8,1,1.5
2025-04-01,15.1,4,21.1,1,7.0
2025-04-02,15.0,4,22.9,1,7.4
2025-04-03,15.6,4,20.9,1,7.8
2025-04-04,17.4,4,19.0,1,7.0
2025-04-05,12.0,4,20.1,1,5.8
2025-04-06,14.7,4,18.9,1,6.3
2025-04-07,16.6,4,16.2,1,7.4
2025-04-01,8.6,2,15.9,1,3.5
2025-04-02,11.6,2,24.2,1,5.6
2025-04-03,9.6,2,21.7,1,4.8
2025-04-04,7.9,2,17.8,1,3.6
2025-04-05,5.7,2,16.6,1,2.6
2025-04-06,10.0,2,19.6,1,4.7
2025-04-07,7.6,2,21.6,1,3.1
2025-04-01,14.5,6,16.7,0,5.7
2025-04-02,12.6,6,17.0,0,5.0
2025-04-03,15.6,6,14.1,0,5.1
2025-04-04,16.2,6,17.2,0,5.8
2025-04-05,13.9,6,12.0,0,4.5
2025-04-06,16.5,6,20.3,0,5.4
2025-04-07,15.6,6,18.7,0,6.1
2025-04-01,11.2,5,16.3,0,4.3
2025-04-02,13.7,5,16.6,0,4.7
2025-04-03,12.2,5,20.4,0,4.1
2025-04-04,13.8,5,18.1,0,4.9
2025-04-05,11.3,5,14.6,0,4.1
2025-04-06,12.3,5,19.7,0,4.3
2025-04-07,13.1,5,10.9,0,4.9
2025-04-01,13.2,4,13.5,1,6.4
2025-04-02,17.8,4,21.4,1,8.2
2025-04-03,15.7,4,15.1,1,6.3
2025-04-04,14.7,4,16.8,1,6.9
2025-04-05,13.3,4,17.0,1,5.4
2025-04-06,16.0,4,22.9,1,6.7
2025-04-07,14.5,4,19.1,1,6.5
2025-04-01,4.0,1,17.8,1,1.9
2025-04-02,4.1,1,17.2,1,1.7
2025-04-03,4.8,1,17.5,1,2.1
2025-04-04,1.7,1,12.9,1,0.7
2025-04-05,2.5,1,15.0,1,1.0
2025-04-06,4.7,1,19.2,1,2.1
2025-04-07,2.8,1,15.4,1,1.4
2025-04-01,4.3,1,17.3,1,1.8
2025-04-02,5.4,1,20.9,1,2.4
2025-04-03,6.0,1,21.0,1,3.0
2025-04-04,3.7,1,21.3,1,1.7
2025-04-05,4.8,1,22.3,1,2.1
2025-04-06,2.4,1,17.4,1,1.1
2025-04-07,1.6,1,16.3,1,0.7
2025-04-01,8.0,3,12.7,0,2.8
2025-04-02,9.3,3,19.0,0,3.1
2025-04-03,7.1,3,12.2,0,2.6
2025-04-04,8.9,3,16.7,0,3.0
2025-04-05,7.3,3,19.5,0,2.7
2025-04-06,6.6,3,15.7,0,2.1
2025-04-07,6.4,3,15.3,0,2.3
2025-04-01,6.1,3,16.8,0,2.2
2025-04-02,7.3,3,16.6,0,2.2
2025-04-03,7.8,3,16.2,0,2.6
2025-04-04,5.0,3,18.9,0,1.8
2025-04-05,7.2,3,12.6,0,2.3
2025-04-06,8.0,3,18.9,0,3.2
2025-04-07,6.2,3,19.6,0,1.9
2025-04-01,6.9,2,13.9,0,2.6
2025-04-02,6.4,2,16.6,0,2.3
2025-04-03,3.6,2,17.0,0,1.2
2025-04-04,3.5,2,18.5,0,1.4
2025-04-05,4.3,2,18.6,0,1.4
2025-04-06,5.7,2,18.0,0,2.1
2025-04-07,3.8,2,17.9,0,1.5
2025-04-01,11.4,4,21.3,0,3.5
2025-04-02,9.6,4,15.4,0,3.6
2025-04-03,11.7,4,18.2,0,3.7
2025-04-04,11.0,4,22.6,0,4.2
2025-04-05,9.7,4,14.9,0,3.8
2025-04-06,11.3,4,23.0,0,4.4
2025-04-07,11.1,4,17.8,0,3.7
2025-04-01,6.9,4,20.9,0,2.4
2025-04-02,11.5,4,17.4,0,4.4
2025-04-03,10.5,4,18.4,0,3.9
2025-04-04,11.6,4,16.7,0,3.6
2025-04-05,11.8,4,17.5,0,3.7
2025-04-06,11.5,4,19.6,0,3.7
2025-04-07,11.1,4,16.3,0,4.2
2025-04-01,20.0,6,21.9,1,8.8
2025-04-02,20.0,6,20.0,1,8.1
2025-04-03,20.0,6,17.6,1,8.9
2025-04-04,20.0,6,15.2,1,9.0
2025-04-05,20.0,6,16.3,1,9.3
2025-04-06,19.3,6,17.1,1,9.6
2025-04-07,20.0,6,18.8,1,9.2
2025-04-01,20.0,6,22.5,1,9.0
2025-04-02,20.0,6,16.5,1,8.8
2025-04-03,20.0,6,16.8,1,8.8
2025-04-04,20.0,6,22.7,1,8.5
2025-04-05,20.0,6,13.2,1,9.5
2025-04-06,20.0,6,16.3,1,8.9
2025-04-07,19.3,6,19.8,1,9.2
2025-04-01,15.3,6,17.8,0,5.6
2025-04-02,13.9,6,23.3,0,4.3
2025-04-03,16.5,6,17.8,0,5.0
2025-04-04,16.3,6,17.4,0,6.3
2025-04-05,15.5,6,18.2,0,4.7
2025-04-06,14.5,6,18.8,0,5.6
2025-04-07,12.6,6,11.8,0,4.0
2025-04-01,5.9,3,18.9,0,1.9
